Phase,Block,TrialInBlock,GlobalTrial,SoundFile,SoundPath,Category,ExpectedResponse,ExpectedColor,PressedResponse,PressedColor,Correct,ReactionTime_s,Slow,EarlyPressDetected,SoundOnset_s,SoundOffset_s,ResponseOnset_s,ResponsePress_s,MappingLabel
practice,1,1,NaN,aSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\aSequenceTrain_34.flac,a,4,Red,4,Red,1,0.586478100041859,0,0,362635.349398,362636.8745049,362636.9783488,362637.5648269,consistent
practice,1,2,NaN,aSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\aSequenceTrain_33.flac,a,4,Red,4,Red,1,0.440954699995928,0,0,362638.7899115,362640.3250415,362640.4282827,362640.8692374,consistent
practice,1,3,NaN,ySequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\ySequenceTrain_33.flac,y,1,Yellow,1,Yellow,1,0.400250499951653,0,0,362642.1068117,362643.6366419,362643.7408376,362644.1410881,consistent
practice,1,4,NaN,ySequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\ySequenceTrain_34.flac,y,1,Yellow,1,Yellow,1,0.408074099977966,0,0,362645.3687575,362646.9023168,362647.0057879,362647.413862,consistent
practice,1,5,NaN,xSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\xSequenceTrain_34.flac,x,3,Blue,3,Blue,1,0.450887500017416,0,0,362648.6305295,362650.1556484,362650.2588349,362650.7097224,consistent
practice,1,6,NaN,xSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\xSequenceTrain_33.flac,x,3,Blue,3,Blue,1,0.385241799987853,0,0,362651.9215397,362653.4560452,362653.5591854,362653.9444272,consistent
practice,1,7,NaN,bSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\bSequenceTrain_34.flac,b,2,Green,2,Green,1,0.383886999974493,0,0,362655.1787524,362656.70982,362656.81322,362657.197107,consistent
practice,1,8,NaN,bSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\bSequenceTrain_33.flac,b,2,Green,2,Green,1,0.431038599985186,0,0,362658.4511332,362659.9743126,362660.0782787,362660.5093173,consistent
