Phase,Block,TrialInBlock,GlobalTrial,SoundFile,SoundPath,Category,ExpectedResponse,ExpectedColor,PressedResponse,PressedColor,Correct,ReactionTime_s,Slow,EarlyPressDetected,SoundOnset_s,SoundOffset_s,ResponseOnset_s,ResponsePress_s,MappingLabel
generalization,1,25,NaN,bSequenceGen_12.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\bSequenceGen_12.flac,b,1,Yellow,1,Yellow,1,0.30548350000754,0,0,105600.3605958,105601.88524,105602.2203243,105602.5258078,generalization
generalization,1,26,NaN,aSequenceGen_3.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\aSequenceGen_3.flac,a,3,Blue,1,Yellow,0,0.707661599997664,0,0,105604.1242708,105605.6493902,105605.9907166,105606.6983782,generalization
generalization,1,27,NaN,bSequenceGen_3.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\bSequenceGen_3.flac,b,1,Yellow,2,Green,0,0.366467999992892,0,0,105608.2492634,105609.7828405,105610.12188,105610.488348,generalization
generalization,1,28,NaN,bSequenceGen_10.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\bSequenceGen_10.flac,b,1,Yellow,1,Yellow,1,0.283418599996367,0,0,105612.0331465,105613.562899,105613.9132451,105614.1966637,generalization
generalization,1,29,NaN,ySequenceGen_4.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\ySequenceGen_4.flac,y,2,Green,1,Yellow,0,0.336190400004853,0,0,105615.7033104,105617.2326011,105617.5717,105617.9078904,generalization
generalization,1,30,NaN,aSequenceGen_4.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\aSequenceGen_4.flac,a,3,Blue,2,Green,0,0.273923999993713,0,0,105619.4308078,105620.9600539,105621.3082734,105621.5821974,generalization
generalization,1,31,NaN,bSequenceGen_4.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\bSequenceGen_4.flac,b,1,Yellow,1,Yellow,1,0.371032399998512,0,0,105623.1255773,105624.647753,105624.9900964,105625.3611288,generalization
generalization,1,32,NaN,ySequenceGen_1.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\ySequenceGen_1.flac,y,2,Green,2,Green,1,0.292678899990278,0,0,105626.8955309,105628.4222356,105628.7559,105629.0485789,generalization
generalization,1,33,NaN,ySequenceGen_3.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\ySequenceGen_3.flac,y,2,Green,2,Green,1,1.64283590001287,0,0,105630.6093327,105632.1372947,105632.4729899,105634.1158258,generalization
generalization,1,34,NaN,ySequenceGen_7.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\ySequenceGen_7.flac,y,2,Green,4,Red,0,1.32044209999731,0,0,105635.6372248,105637.155898,105637.4869334,105638.8073755,generalization
generalization,1,35,NaN,xSequenceGen_6.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\xSequenceGen_6.flac,x,4,Red,3,Blue,0,0.350551900002756,0,0,105640.3290831,105641.8623457,105642.206819,105642.5573709,generalization
generalization,1,36,NaN,aSequenceGen_8.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\aSequenceGen_8.flac,a,3,Blue,4,Red,0,0.428507599994191,0,0,105644.0909311,105645.6176704,105645.9572876,105646.3857952,generalization
generalization,1,37,NaN,aSequenceGen_5.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\aSequenceGen_5.flac,a,3,Blue,3,Blue,1,0.300308499994571,0,0,105647.8786763,105649.4119282,105649.7579729,105650.0582814,generalization
generalization,1,38,NaN,ySequenceGen_9.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\ySequenceGen_9.flac,y,2,Green,3,Blue,0,0.418396900000516,0,0,105651.5893805,105653.1166081,105653.4572239,105653.8756208,generalization
generalization,1,39,NaN,xSequenceGen_9.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\xSequenceGen_9.flac,x,4,Red,4,Red,1,0.350311000001966,0,0,105655.4551411,105656.98592,105657.3238061,105657.6741171,generalization
generalization,1,40,NaN,aSequenceGen_6.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\aSequenceGen_6.flac,a,3,Blue,3,Blue,1,0.423477400006959,0,0,105659.2329392,105660.7668217,105661.1072054,105661.5306828,generalization
generalization,1,41,NaN,aSequenceGen_11.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\aSequenceGen_11.flac,a,3,Blue,3,Blue,1,2.93721049999294,0,0,105663.082076,105664.6157117,105664.9569839,105667.8941944,generalization
generalization,1,42,NaN,xSequenceGen_11.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\xSequenceGen_11.flac,x,4,Red,4,Red,1,0.577148500000476,0,0,105669.4287255,105670.9563615,105671.290301,105671.8674495,generalization
generalization,1,43,NaN,xSequenceGen_2.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\xSequenceGen_2.flac,x,4,Red,4,Red,1,3.55233330000192,0,0,105673.3858808,105674.916586,105675.2559356,105678.8082689,generalization
generalization,1,44,NaN,ySequenceGen_10.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\ySequenceGen_10.flac,y,2,Green,3,Blue,0,0.505428499993286,0,0,105680.3141813,105681.8415129,105682.1903217,105682.6957502,generalization
generalization,1,45,NaN,aSequenceGen_7.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\aSequenceGen_7.flac,a,3,Blue,3,Blue,1,1.08989680001105,0,0,105684.2376213,105685.7749946,105686.1232641,105687.2131609,generalization
generalization,1,46,NaN,aSequenceGen_9.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\aSequenceGen_9.flac,a,3,Blue,3,Blue,1,0.557746900012717,0,0,105688.7741221,105690.3029957,105690.6389844,105691.1967313,generalization
