Phase,Block,TrialInBlock,GlobalTrial,SoundFile,SoundPath,Category,ExpectedResponse,ExpectedColor,PressedResponse,PressedColor,Correct,ReactionTime_s,Slow,EarlyPressDetected,SoundOnset_s,SoundOffset_s,ResponseOnset_s,ResponsePress_s,MappingLabel
practice,1,1,NaN,ySequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\ySequenceTrain_33.flac,y,4,Red,4,Red,1,0.550695299985819,0,0,358409.9555986,358411.6775527,358412.0169469,358412.5676422,consistent
practice,1,2,NaN,aSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\aSequenceTrain_34.flac,a,1,Yellow,1,Yellow,1,0.589451999985613,0,0,358413.7940576,358415.3268748,358415.6665011,358416.2559531,consistent
practice,1,3,NaN,ySequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\ySequenceTrain_34.flac,y,4,Red,4,Red,1,0.528114999993704,0,0,358417.4951124,358419.0247828,358419.367205,358419.89532,consistent
practice,1,4,NaN,xSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\xSequenceTrain_34.flac,x,2,Green,2,Green,1,0.431874699948821,0,0,358421.1260195,358422.6576842,358423.0009284,358423.4328031,consistent
practice,1,5,NaN,bSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\bSequenceTrain_33.flac,b,3,Blue,3,Blue,1,0.38245229999302,0,0,358424.6707187,358426.2049774,358426.5540366,358426.9364889,consistent
practice,1,6,NaN,xSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\xSequenceTrain_33.flac,x,2,Green,2,Green,1,0.389119800005574,0,0,358428.1549111,358429.6765584,358430.0182097,358430.4073295,consistent
practice,1,7,NaN,aSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\aSequenceTrain_33.flac,a,1,Yellow,1,Yellow,1,0.330346900038421,0,0,358431.613315,358433.1469691,358433.4849763,358433.8153232,consistent
practice,1,8,NaN,bSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\bSequenceTrain_34.flac,b,3,Blue,3,Blue,1,0.379361999977846,0,0,358435.0683891,358436.5999309,358436.9318958,358437.3112578,consistent
