Phase,Block,TrialInBlock,GlobalTrial,SoundFile,SoundPath,Category,ExpectedResponse,ExpectedColor,PressedResponse,PressedColor,Correct,ReactionTime_s,Slow,EarlyPressDetected,SoundOnset_s,SoundOffset_s,ResponseOnset_s,ResponsePress_s,MappingLabel
practice,1,1,NaN,bSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\bSequenceTrain_33.flac,b,4,Red,4,Red,1,0.442212199966889,0,0,358467.1211719,358468.6454818,358469.23709,358469.6793022,consistent
practice,1,2,NaN,ySequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\ySequenceTrain_33.flac,y,3,Blue,3,Blue,1,0.629999200056773,0,0,358470.8993932,358472.4267257,358473.0165385,358473.6465377,consistent
practice,1,3,NaN,xSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\xSequenceTrain_33.flac,x,1,Yellow,1,Yellow,1,0.541542700026184,0,0,358474.8566567,358476.3810706,358476.970721,358477.5122637,consistent
practice,1,4,NaN,xSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\xSequenceTrain_34.flac,x,1,Yellow,1,Yellow,1,0.336574400018435,0,0,358478.7568753,358480.2955636,358480.8866813,358481.2232557,consistent
practice,1,5,NaN,bSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\bSequenceTrain_34.flac,b,4,Red,4,Red,1,0.514036700013094,0,0,358482.4674201,358484.0033729,358484.5809931,358485.0950298,consistent
practice,1,6,NaN,aSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\aSequenceTrain_34.flac,a,2,Green,2,Green,1,0.32741949998308,0,0,358486.3251648,358487.858075,358488.4486862,358488.7761057,consistent
practice,1,7,NaN,ySequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\ySequenceTrain_34.flac,y,3,Blue,3,Blue,1,0.574553999991622,0,0,358490.0030053,358491.5383688,358492.1369397,358492.7114937,consistent
practice,1,8,NaN,aSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\aSequenceTrain_33.flac,a,2,Green,2,Green,1,0.706947099999525,0,0,358493.9388702,358495.4647592,358496.0515732,358496.7585203,consistent
