Phase,Block,TrialInBlock,GlobalTrial,SoundFile,SoundPath,Category,ExpectedResponse,ExpectedColor,PressedResponse,PressedColor,Correct,ReactionTime_s,Slow,EarlyPressDetected,SoundOnset_s,SoundOffset_s,ResponseOnset_s,ResponsePress_s,MappingLabel
practice,1,1,NaN,aSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\aSequenceTrain_34.flac,a,4,Red,4,Red,1,0.580733000009786,0,0,358329.1179509,358330.8474293,358331.1856712,358331.7664042,consistent
practice,1,2,NaN,xSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\xSequenceTrain_34.flac,x,3,Blue,3,Blue,1,0.690755199990235,0,0,358332.9995502,358334.5248739,358334.8681178,358335.558873,consistent
practice,1,3,NaN,bSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\bSequenceTrain_34.flac,b,2,Green,2,Green,1,0.400514199980535,0,0,358336.7904237,358338.3276604,358338.6701126,358339.0706268,consistent
practice,1,4,NaN,aSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\aSequenceTrain_33.flac,a,4,Red,4,Red,1,0.324113799957559,0,0,358340.3231823,358341.8559975,358342.1869837,358342.5110975,consistent
practice,1,5,NaN,bSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\bSequenceTrain_33.flac,b,2,Green,2,Green,1,0.301347100001294,0,0,358343.7397102,358345.271873,358345.6020823,358345.9034294,consistent
practice,1,6,NaN,ySequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\ySequenceTrain_34.flac,y,1,Yellow,1,Yellow,1,0.389354799990542,0,0,358347.130589,358348.6582299,358349.002589,358349.3919438,consistent
practice,1,7,NaN,xSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\xSequenceTrain_33.flac,x,3,Blue,3,Blue,1,0.602788000018336,0,0,358350.6365058,358352.1660358,358352.5006156,358353.1034036,consistent
practice,1,8,NaN,ySequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\ySequenceTrain_33.flac,y,1,Yellow,1,Yellow,1,0.387806800019462,0,0,358354.3492303,358355.874929,358356.2218542,358356.609661,consistent
