Phase,Block,TrialInBlock,GlobalTrial,SoundFile,SoundPath,Category,ExpectedResponse,ExpectedColor,PressedResponse,PressedColor,Correct,ReactionTime_s,Slow,EarlyPressDetected,SoundOnset_s,SoundOffset_s,ResponseOnset_s,ResponsePress_s,MappingLabel
practice,1,1,NaN,aSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\aSequenceTrain_34.flac,a,1,Yellow,1,Yellow,1,0.568855099962093,0,0,362421.5675014,362423.0992818,362424.2917338,362424.8605889,consistent
practice,1,2,NaN,bSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\bSequenceTrain_33.flac,b,3,Blue,3,Blue,1,0.624069399957079,0,0,362426.0851539,362427.6093822,362428.7925043,362429.4165737,consistent
practice,1,3,NaN,aSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\aSequenceTrain_33.flac,a,1,Yellow,1,Yellow,1,0.358004899986554,0,0,362430.6587451,362432.1947676,362433.3760411,362433.734046,consistent
practice,1,4,NaN,ySequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\ySequenceTrain_33.flac,y,4,Red,4,Red,1,0.490754399972502,0,0,362434.9451424,362436.475508,362437.6579347,362438.1486891,consistent
practice,1,5,NaN,ySequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\ySequenceTrain_34.flac,y,4,Red,4,Red,1,0.611723700014409,0,0,362439.3660177,362440.8908586,362442.0759973,362442.687721,consistent
practice,1,6,NaN,bSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\bSequenceTrain_34.flac,b,3,Blue,3,Blue,1,0.601012900006026,0,0,362443.9437708,362445.4750754,362446.6596422,362447.2606551,consistent
practice,1,7,NaN,xSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\xSequenceTrain_33.flac,x,2,Green,2,Green,1,0.384607399988454,0,0,362448.4981295,362450.0320091,362451.228682,362451.6132894,consistent
practice,1,8,NaN,xSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\xSequenceTrain_34.flac,x,2,Green,2,Green,1,0.422307899978478,0,0,362452.8547614,362454.3799792,362455.55901,362455.9813179,consistent
