Phase,Block,TrialInBlock,GlobalTrial,SoundFile,SoundPath,Category,ExpectedResponse,ExpectedColor,PressedResponse,PressedColor,Correct,ReactionTime_s,Slow,EarlyPressDetected,SoundOnset_s,SoundOffset_s,ResponseOnset_s,ResponsePress_s,MappingLabel
practice,1,1,NaN,xSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\xSequenceTrain_34.flac,x,1,Yellow,1,Yellow,1,0.366673399985302,0,0,358243.2151206,358244.9421114,358245.2904494,358245.6571228,consistent
practice,1,2,NaN,bSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\bSequenceTrain_33.flac,b,4,Red,4,Red,1,0.476506400038488,0,0,358246.9130424,358248.4415555,358248.7697193,358249.2462257,consistent
practice,1,3,NaN,aSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\aSequenceTrain_34.flac,a,2,Green,2,Green,1,0.700953899999149,0,0,358250.4850628,358252.0160173,358252.3564765,358253.0574304,consistent
practice,1,4,NaN,ySequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\ySequenceTrain_33.flac,y,3,Blue,3,Blue,1,0.467463000037242,0,0,358254.3002848,358255.8297921,358256.172875,358256.640338,consistent
practice,1,5,NaN,bSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\bSequenceTrain_34.flac,b,4,Red,4,Red,1,0.384018999990076,0,0,358257.8621737,358259.3946144,358259.7424626,358260.1264816,consistent
practice,1,6,NaN,ySequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\ySequenceTrain_34.flac,y,3,Blue,3,Blue,1,0.479728500009514,0,0,358261.4056303,358262.9301965,358263.2725253,358263.7522538,consistent
practice,1,7,NaN,xSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\xSequenceTrain_33.flac,x,1,Yellow,1,Yellow,1,0.383430999994744,0,0,358265.0164024,358266.5425599,358266.8899314,358267.2733624,consistent
practice,1,8,NaN,aSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\aSequenceTrain_33.flac,a,2,Green,2,Green,1,0.262117700011004,0,0,358268.4859499,358270.0056829,358270.3386948,358270.6008125,consistent
