Phase,Block,TrialInBlock,GlobalTrial,SoundFile,SoundPath,Category,ExpectedResponse,ExpectedColor,PressedResponse,PressedColor,Correct,ReactionTime_s,Slow,EarlyPressDetected,SoundOnset_s,SoundOffset_s,ResponseOnset_s,ResponsePress_s,MappingLabel
practice,1,1,NaN,xSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\xSequenceTrain_34.flac,x,4,Red,4,Red,1,0.643496100034099,0,0,362710.9261038,362712.4562343,362713.0423257,362713.6858218,consistent
practice,1,2,NaN,bSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\bSequenceTrain_33.flac,b,1,Yellow,1,Yellow,1,0.393093599996064,0,0,362714.9170153,362716.4461628,362717.0298687,362717.4229623,consistent
practice,1,3,NaN,ySequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\ySequenceTrain_33.flac,y,2,Green,2,Green,1,0.779454800009262,0,0,362718.6231482,362720.1534761,362720.7458055,362721.5252603,consistent
practice,1,4,NaN,xSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\xSequenceTrain_33.flac,x,4,Red,4,Red,1,0.440892300044652,0,0,362722.7649166,362724.2963976,362724.8928084,362725.3337007,consistent
practice,1,5,NaN,aSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\aSequenceTrain_34.flac,a,3,Blue,3,Blue,1,0.531777900003362,0,0,362726.5667198,362728.0962414,362728.6731855,362729.2049634,consistent
practice,1,6,NaN,bSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\bSequenceTrain_34.flac,b,1,Yellow,1,Yellow,1,0.343204699980561,0,0,362730.4488699,362731.9729328,362732.5581035,362732.9013082,consistent
practice,1,7,NaN,aSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\aSequenceTrain_33.flac,a,3,Blue,3,Blue,1,0.530829399998765,0,0,362734.1428269,362735.6727597,362736.2593865,362736.7902159,consistent
practice,1,8,NaN,ySequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\ySequenceTrain_34.flac,y,2,Green,2,Green,1,0.437368499988224,0,0,362738.0423494,362739.5670917,362740.1609,362740.5982685,consistent
