Phase,Block,TrialInBlock,GlobalTrial,SoundFile,SoundPath,Category,ExpectedResponse,ExpectedColor,PressedResponse,PressedColor,Correct,ReactionTime_s,Slow,EarlyPressDetected,SoundOnset_s,SoundOffset_s,ResponseOnset_s,ResponsePress_s,MappingLabel
practice,1,1,NaN,bSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\flac_practice\bSequenceTrain_34.flac,b,1,Yellow,1,Yellow,1,3.94963060000737,1,0,115298.8302615,115298.8818362,115298.9847054,115302.934336,consistent
practice,1,2,NaN,aSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\flac_practice\aSequenceTrain_33.flac,a,3,Blue,3,Blue,1,0.527274600011879,0,0,115305.6726238,115307.1177819,115307.2218433,115307.7491179,consistent
practice,1,3,NaN,bSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\flac_practice\bSequenceTrain_33.flac,b,1,Yellow,1,Yellow,1,0.454648600003566,0,0,115308.9649549,115310.4194373,115310.5236687,115310.9783173,consistent
practice,1,4,NaN,aSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\flac_practice\aSequenceTrain_34.flac,a,3,Blue,3,Blue,1,0.555610800001887,0,0,115312.2222278,115313.6682101,115313.7723712,115314.327982,consistent
practice,1,5,NaN,ySequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\flac_practice\ySequenceTrain_33.flac,y,2,Green,2,Green,1,0.53042429999914,0,0,115315.569909,115317.0088303,115317.1125254,115317.6429497,consistent
practice,1,6,NaN,ySequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\flac_practice\ySequenceTrain_34.flac,y,2,Green,2,Green,1,0.458326799998758,0,0,115318.8693248,115320.32972,115320.4339424,115320.8922692,consistent
practice,1,7,NaN,xSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\flac_practice\xSequenceTrain_33.flac,x,4,Red,4,Red,1,0.506107099994551,0,1,115322.1091665,115323.5593178,115323.6631699,115324.169277,consistent
practice,1,8,NaN,xSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\flac_practice\xSequenceTrain_34.flac,x,4,Red,4,Red,1,0.469427399992128,0,0,115325.3699973,115326.8181046,115326.9206655,115327.3900929,consistent
