Phase,Block,TrialInBlock,GlobalTrial,SoundFile,SoundPath,Category,ExpectedResponse,ExpectedColor,PressedResponse,PressedColor,Correct,ReactionTime_s,Slow,EarlyPressDetected,SoundOnset_s,SoundOffset_s,ResponseOnset_s,ResponsePress_s,MappingLabel
practice,1,1,NaN,ySequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\ySequenceTrain_33.flac,y,3,Blue,3,Blue,1,0.907130100007635,0,0,362213.087799,362214.6185278,362214.7220769,362215.629207,consistent
practice,1,2,NaN,xSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\xSequenceTrain_33.flac,x,1,Yellow,1,Yellow,1,0.40162339998642,0,0,362216.8487645,362218.3823889,362218.4846808,362218.8863042,consistent
practice,1,3,NaN,xSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\xSequenceTrain_34.flac,x,1,Yellow,1,Yellow,1,0.435215700010303,0,0,362220.1006742,362221.6273043,362221.7303535,362222.1655692,consistent
practice,1,4,NaN,ySequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\ySequenceTrain_34.flac,y,3,Blue,3,Blue,1,0.516480899997987,0,0,362223.3896187,362224.9302087,362225.0338843,362225.5503652,consistent
practice,1,5,NaN,bSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\bSequenceTrain_34.flac,b,4,Red,4,Red,1,0.488671400002204,0,0,362226.796166,362228.3253479,362228.4288741,362228.9175455,consistent
practice,1,6,NaN,bSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\bSequenceTrain_33.flac,b,4,Red,4,Red,1,0.420870499976445,0,0,362230.134293,362231.6644421,362231.7682478,362232.1891183,consistent
practice,1,7,NaN,aSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\aSequenceTrain_34.flac,a,2,Green,2,Green,1,0.397753899975214,0,0,362233.4037375,362234.9285561,362235.0309017,362235.4286556,consistent
practice,1,8,NaN,aSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\aSequenceTrain_33.flac,a,2,Green,2,Green,1,0.481102099991404,0,0,362236.6619504,362238.1824772,362238.2863065,362238.7674086,consistent
