Phase,Block,TrialInBlock,GlobalTrial,SoundFile,SoundPath,Category,ExpectedResponse,ExpectedColor,PressedResponse,PressedColor,Correct,ReactionTime_s,Slow,EarlyPressDetected,SoundOnset_s,SoundOffset_s,ResponseOnset_s,ResponsePress_s,MappingLabel
practice,1,1,NaN,ySequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\ySequenceTrain_34.flac,y,4,Red,4,Red,1,0.427632699953392,0,0,362308.3241077,362309.8512352,362309.95374,362310.3813727,consistent
practice,1,2,NaN,bSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\bSequenceTrain_34.flac,b,3,Blue,3,Blue,1,0.410965999995824,0,0,362311.5801332,362313.1074979,362313.2110855,362313.6220515,consistent
practice,1,3,NaN,bSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\bSequenceTrain_33.flac,b,3,Blue,3,Blue,1,0.458391299995128,0,0,362314.8559243,362316.3886354,362316.4928386,362316.9512299,consistent
practice,1,4,NaN,xSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\xSequenceTrain_34.flac,x,2,Green,2,Green,1,0.470877300016582,0,0,362318.1957178,362319.7271842,362319.8307377,362320.301615,consistent
practice,1,5,NaN,aSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\aSequenceTrain_34.flac,a,1,Yellow,1,Yellow,1,0.328004400013015,0,0,362321.5362769,362323.0700275,362323.1735662,362323.5015706,consistent
practice,1,6,NaN,aSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\aSequenceTrain_33.flac,a,1,Yellow,1,Yellow,1,0.307233800005633,0,0,362324.7400727,362326.2750552,362326.3779955,362326.6852293,consistent
practice,1,7,NaN,xSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\xSequenceTrain_33.flac,x,2,Green,2,Green,1,0.417352000018582,0,0,362327.9150026,362329.4443559,362329.5486171,362329.9659691,consistent
practice,1,8,NaN,ySequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\ySequenceTrain_33.flac,y,4,Red,4,Red,1,0.43670280004153,0,0,362331.208654,362332.736436,362332.8405663,362333.2772691,consistent
