Phase,Block,TrialInBlock,GlobalTrial,SoundFile,SoundPath,Category,ExpectedResponse,ExpectedColor,PressedResponse,PressedColor,Correct,ReactionTime_s,Slow,EarlyPressDetected,SoundOnset_s,SoundOffset_s,ResponseOnset_s,ResponsePress_s,MappingLabel
practice,1,1,NaN,xSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\xSequenceTrain_34.flac,x,3,Blue,3,Blue,1,0.647042100026738,0,0,362563.6638616,362565.1942495,362566.3747057,362567.0217478,consistent
practice,1,2,NaN,aSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\aSequenceTrain_33.flac,a,4,Red,4,Red,1,0.526735500025097,0,0,362568.2477595,362569.7762021,362570.959118,362571.4858535,consistent
practice,1,3,NaN,aSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\aSequenceTrain_34.flac,a,4,Red,4,Red,1,0.47641860001022,0,0,362572.7125083,362574.2389673,362575.4253018,362575.9017204,consistent
practice,1,4,NaN,ySequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\ySequenceTrain_33.flac,y,1,Yellow,1,Yellow,1,0.362385599990375,0,0,362577.1254475,362578.6535276,362579.841849,362580.2042346,consistent
practice,1,5,NaN,xSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\xSequenceTrain_33.flac,x,3,Blue,3,Blue,1,0.60174160002498,0,0,362581.4399765,362582.9649748,362584.1585966,362584.7603382,consistent
practice,1,6,NaN,ySequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\ySequenceTrain_34.flac,y,1,Yellow,1,Yellow,1,0.519158000010066,0,0,362586.0087958,362587.5408298,362588.7258249,362589.2449829,consistent
practice,1,7,NaN,bSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\bSequenceTrain_33.flac,b,2,Green,2,Green,1,0.467732899996918,0,0,362590.4637981,362591.9933784,362593.1769441,362593.644677,consistent
practice,1,8,NaN,bSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\bSequenceTrain_34.flac,b,2,Green,2,Green,1,0.582517099974211,0,0,362594.8853004,362596.4163175,362597.6074824,362598.1899995,consistent
