Phase,Block,TrialInBlock,GlobalTrial,SoundFile,SoundPath,Category,ExpectedResponse,ExpectedColor,PressedResponse,PressedColor,Correct,ReactionTime_s,Slow,EarlyPressDetected,SoundOnset_s,SoundOffset_s,ResponseOnset_s,ResponsePress_s,MappingLabel
practice,1,1,NaN,aSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\aSequenceTrain_34.flac,a,3,Blue,3,Blue,1,0.638057300006039,0,0,362264.1293246,362265.6552032,362265.7586102,362266.3966675,consistent
practice,1,2,NaN,aSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\aSequenceTrain_33.flac,a,3,Blue,3,Blue,1,0.504857300024014,0,0,362267.6250628,362269.1558406,362269.2603878,362269.7652451,consistent
practice,1,3,NaN,xSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\xSequenceTrain_33.flac,x,4,Red,4,Red,1,0.407918100012466,0,0,362270.9675706,362272.4944494,362272.5983103,362273.0062284,consistent
practice,1,4,NaN,xSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\xSequenceTrain_34.flac,x,4,Red,4,Red,1,0.376505899999756,0,0,362274.2138096,362275.7408988,362275.845267,362276.2217729,consistent
practice,1,5,NaN,ySequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\ySequenceTrain_34.flac,y,2,Green,2,Green,1,0.412450500007253,0,0,362277.4278016,362278.9558217,362279.0587869,362279.4712374,consistent
practice,1,6,NaN,bSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\bSequenceTrain_34.flac,b,1,Yellow,1,Yellow,1,0.368249999999534,0,0,362280.7085149,362282.2401095,362282.3435218,362282.7117718,consistent
practice,1,7,NaN,bSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\bSequenceTrain_33.flac,b,1,Yellow,1,Yellow,1,0.509956300025806,0,0,362283.9332755,362285.4659443,362285.5694919,362286.0794482,consistent
practice,1,8,NaN,ySequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\ySequenceTrain_33.flac,y,2,Green,2,Green,1,0.396022000000812,0,0,362287.262855,362288.7950758,362288.8975282,362289.2935502,consistent
