Phase,Block,TrialInBlock,GlobalTrial,SoundFile,SoundPath,Category,ExpectedResponse,ExpectedColor,PressedResponse,PressedColor,Correct,ReactionTime_s,Slow,EarlyPressDetected,SoundOnset_s,SoundOffset_s,ResponseOnset_s,ResponsePress_s,MappingLabel
practice,1,1,NaN,bSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\bSequenceTrain_34.flac,b,4,Red,4,Red,1,0.802810100023635,0,0,362356.8069736,362356.8578343,362358.0590682,362358.8618783,consistent
practice,1,2,NaN,ySequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\ySequenceTrain_34.flac,y,3,Blue,3,Blue,1,0.817352599988226,0,0,362360.0763994,362361.6060884,362362.7894678,362363.6068204,consistent
practice,1,3,NaN,xSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\xSequenceTrain_33.flac,x,1,Yellow,1,Yellow,1,0.448091199970804,0,0,362364.8198943,362366.3533689,362367.5431155,362367.9912067,consistent
practice,1,4,NaN,bSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\bSequenceTrain_33.flac,b,4,Red,4,Red,1,0.488112399994861,0,0,362369.2289699,362370.757576,362371.941115,362372.4292274,consistent
practice,1,5,NaN,aSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\aSequenceTrain_34.flac,a,2,Green,2,Green,1,0.596265400003176,0,0,362373.6571147,362375.1812813,362376.3763383,362376.9726037,consistent
practice,1,6,NaN,xSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\xSequenceTrain_34.flac,x,1,Yellow,1,Yellow,1,0.375954999995884,0,0,362378.2355379,362379.7655008,362380.9583376,362381.3342926,consistent
practice,1,7,NaN,aSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\aSequenceTrain_33.flac,a,2,Green,2,Green,1,0.607451000018045,0,0,362382.5784503,362384.1139882,362385.3098608,362385.9173118,consistent
practice,1,8,NaN,ySequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\ySequenceTrain_33.flac,y,3,Blue,3,Blue,1,0.586291100014932,0,0,362387.1381603,362388.6704059,362389.8588089,362390.4451,consistent
