Phase,Block,TrialInBlock,GlobalTrial,SoundFile,SoundPath,Category,ExpectedResponse,ExpectedColor,PressedResponse,PressedColor,Correct,ReactionTime_s,Slow,EarlyPressDetected,SoundOnset_s,SoundOffset_s,ResponseOnset_s,ResponsePress_s,MappingLabel
practice,1,1,NaN,aSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\aSequenceTrain_33.flac,a,4,Red,4,Red,1,0.486164800007828,0,0,362492.633948,362494.1644942,362494.758877,362495.2450418,consistent
practice,1,2,NaN,xSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\xSequenceTrain_33.flac,x,3,Blue,3,Blue,1,0.700495500001125,0,0,362496.4743863,362498.0037828,362498.5927204,362499.2932159,consistent
practice,1,3,NaN,ySequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\ySequenceTrain_33.flac,y,1,Yellow,1,Yellow,1,0.446610099985264,0,0,362500.5303326,362502.0707781,362502.6625283,362503.1091384,consistent
practice,1,4,NaN,bSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\bSequenceTrain_34.flac,b,2,Green,2,Green,1,0.418992199993227,0,0,362504.3634024,362505.8897146,362506.4749669,362506.8939591,consistent
practice,1,5,NaN,bSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\bSequenceTrain_33.flac,b,2,Green,2,Green,1,0.459164600004442,0,0,362508.1578118,362509.6828834,362510.2739645,362510.7331291,consistent
practice,1,6,NaN,aSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\aSequenceTrain_34.flac,a,4,Red,4,Red,1,0.429583899967838,0,0,362511.9875912,362513.5211455,362514.1110369,362514.5406208,consistent
practice,1,7,NaN,xSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\xSequenceTrain_34.flac,x,3,Blue,3,Blue,1,0.52850200003013,0,0,362515.7944343,362517.3239822,362517.9090458,362518.4375478,consistent
practice,1,8,NaN,ySequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\ySequenceTrain_34.flac,y,1,Yellow,1,Yellow,1,0.389424299995881,0,0,362519.7222248,362521.2472771,362521.8419488,362522.2313731,consistent
